"Genotype","Epsib","Ict","MGR_init","plasto_init","phyllo_init","ligulo_init","leaf_length_to_IN_length","SLAp"
"IS30898",10.9400718405172,2.78693115264162,9.28510554828114,28.8399111315987,40.9169012985571,43.0162129469743,0.0966687155534075,34.1456641820099
"IS31123",10.0614756820643,3.00442963303799,8.22822599012442,31.4709405609485,41.4229918219672,42.7216815204508,0.108810498128492,17.3272893714702
"IS31195",9.57942524343419,2.68355032405104,8.13262407500075,31.4523125600791,40.840376466853,42.7060993111833,0.107740560626529,23.9439276075034
"IS31202",9.82016394213716,2.69843070496974,8.59194429035087,30.8470832648431,40.3950354221502,41.9648606510522,0.11364587241296,27.8990471760229
"IS31299",9.63900728859258,2.86112865736454,8.11684513168175,30.3947163701408,40.6035937196223,42.6130495207086,0.0988643342277127,17.801032469246
"IS3147",8.7505442047509,2.77540550807961,8.00182762167028,28.273068464632,38.7756027487085,40.9456873303978,0.132151962656285,25.5452249758281
"IS31559",9.61349929562219,2.79723814835262,8.26880362246752,30.2192681511495,40.1796448075993,43.0195267474373,0.107539266194211,18.8969623757205
"IS32569",9.59872165795423,2.29663112232505,8.65340024831108,28.0236178366896,37.3025217874373,42.5384410223446,0.162002048364331,34.1610730866346
"IS32986",9.79132174644741,2.53725935588631,8.22035651687174,29.2455240772707,40.5992307023401,41.7652748302653,0.133052845807805,24.3810553378936
"IS33178",9.95397005474023,2.42893079480539,8.64269778312614,29.6990955118909,39.2548392332303,42.7290783368674,0.100099590100975,25.935479018354
"IS33209",9.40891537140105,2.41479804862754,8.24397887935555,27.6887828035218,39.1126097719345,41.5425247212917,0.0940461355351992,25.6855320892333
"IS33261",9.54540413023092,2.66555685068334,8.3558256130894,28.0192292531926,39.6422659172603,42.1117268480465,0.0769225042922955,22.797033513906
"IS33353",10.1281701468426,2.65608344948251,8.29616629068625,29.8283418362392,39.8426300893049,42.2267907653712,0.0950153955440977,22.1597888817762
"IS33423",11.0078473654028,2.85475304220532,9.46440763768563,29.0608884042154,40.9213212654071,42.8249271893306,0.0965144274241599,35.074937148616
"IS3443",10.9883634751209,2.67735190419396,9.38757971154437,28.403815464519,40.4132596621768,42.3902011102535,0.0888664777058112,29.7306184200495
"IS3507",11.0711963809506,2.43732036639228,9.38410262089411,28.7922778159623,39.1145837985868,42.770739764865,0.10416019264682,38.7778322207243
"IS3583",10.7500251787588,2.40140814867412,9.31784767420605,28.9300028208152,39.8323842796901,42.8317935748218,0.0935421242126845,40.1435279543928
"IS36633",10.9779421098546,2.57135620602032,9.21609093986796,28.7419354995655,41.1063893620216,42.4894689979469,0.109264458547781,31.3487715549227
"IS41724",10.8423495243175,2.48491450616568,9.17803661349777,28.7951747749568,40.4746880440441,42.3325812535189,0.0890820030023102,39.671833262033
"IS6723",9.47484310348954,2.50144060849575,8.33416168096097,29.016502168946,40.2565260700597,42.9375151252871,0.0979052176202365,20.0887118974479
"IS6928",10.7030197190385,2.63999804433938,9.19605939967808,28.420443652007,40.543013434441,43.03358854546,0.0869351994505713,30.5341441712492
"IS7277",9.91188421463411,2.49369974212682,8.709616547092,30.6251956358332,39.8635172391409,42.7849961655272,0.102031755845743,28.9581386188798
"IS7314",10.4159905068986,2.49945285713637,8.91195848657994,29.9133045368223,40.0672316530616,42.5999737143712,0.0931905685928467,29.0054644679292
"IS7463",10.0512990210725,2.5138892236429,8.78321106763077,28.6442388932599,39.9359818809222,42.1475751203636,0.086305243203502,22.4635142201891
"IS7861",9.15122749134404,2.34688631600602,8.31768005219442,29.9615769747661,39.6566322591112,42.8764826318443,0.0790826240936586,22.8895096066608
"IS7889",9.22982100718343,2.54017219677436,8.08057856886441,30.9924246216883,40.1749359104215,43.2515271145896,0.0767266070106331,17.3779811464291
"IS7958",9.25642508220744,2.34300222954347,8.21929605879382,29.7729427514547,38.6366991931739,42.5333740539541,0.105165365330006,24.6199725771564
"IS8218",10.3186691984575,2.50666892694227,9.16856394021673,29.4973372903572,40.03859705001,42.2860892632004,0.105537655181083,36.3545656049534
